course_id,price,num_subscribers,num_reviews,num_lectures,rating,content_duration,level,subject,paid,Date
782460,50,85,2,30,0.75,1.5,2,3,1,2016-03-31
932804,40,85,8,19,0.8899999856948853,1.5,2,3,1,2016-08-18
922828,90,85,22,20,0.1899999976158142,2.0,2,3,1,2016-08-21
743884,40,84,4,10,0.7799999713897705,2.5,3,3,1,2016-04-13
496430,20,84,8,13,0.2800000011920929,2.0,1,2,1,2015-05-12
297930,20,83,4,9,0.23999999463558197,0.6666666865348816,2,3,1,2014-09-19
1046540,35,83,3,17,0.8100000023841858,1.5,1,2,1,2017-04-17
94532,50,83,4,19,0.8199999928474426,0.6833333373069763,2,1,1,2014-03-10
541824,50,83,10,15,0.4099999964237213,2.5,1,1,1,2015-07-19
774570,35,83,8,21,0.17000000178813934,1.0,2,1,1,2016-03-12
1134842,20,82,3,62,0.7400000095367432,3.5,2,3,1,2017-03-14
546124,25,82,5,40,0.550000011920929,8.0,1,2,1,2015-07-10
760698,35,82,6,7,0.5099999904632568,1.5,2,3,1,2016-02-17
607360,20,81,11,27,0.05000000074505806,3.0,3,3,1,2015-09-10
705890,20,81,5,14,0.7599999904632568,1.0,2,3,1,2016-01-12
586490,40,81,7,11,0.18000000715255737,1.0,2,3,1,2015-08-19
729128,35,81,8,33,0.9900000095367432,1.0,2,1,1,2016-01-21
1152012,35,81,14,33,0.46000000834465027,1.0,1,4,1,2017-05-02
625974,45,80,4,112,0.029999999329447746,3.0,3,3,1,2015-10-16
902480,45,80,5,24,0.550000011920929,4.5,1,3,1,2016-07-29
139794,35,80,2,16,0.9399999976158142,2.0,2,3,1,2014-03-17
360916,50,80,10,13,0.07000000029802322,2.5,1,1,1,2014-12-08
927442,50,80,18,63,0.47999998927116394,7.5,3,1,1,2016-08-11
528104,50,80,10,27,0.8899999856948853,5.5,1,1,1,2015-06-16
248338,50,79,5,36,0.9599999785423279,1.0,3,1,1,2014-09-05
501502,20,79,1,58,0.3400000035762787,6.0,1,1,1,2015-05-24
846962,50,79,3,25,0.9399999976158142,1.5,2,3,1,2016-06-23
139772,35,79,3,15,0.800000011920929,1.5,1,3,1,2014-02-25
147174,50,78,6,45,0.30000001192092896,7.0,1,3,1,2014-01-16
888668,20,78,8,24,0.10999999940395355,1.5,3,3,1,2016-07-18
82960,20,78,0,18,0.10999999940395355,1.5,2,3,1,2013-11-18
74782,25,78,6,16,0.949999988079071,1.5,2,2,1,2013-09-29
168358,50,78,6,57,0.23999999463558197,3.5,2,1,1,2014-03-06
700080,40,78,22,25,0.7799999713897705,2.5,3,1,1,2016-01-11
19653,20,78,3,10,0.7799999713897705,1.5,3,1,1,2012-06-27
638100,30,77,4,14,0.10999999940395355,2.0,1,3,1,2015-10-13
1174084,35,77,5,28,0.30000001192092896,2.0,1,1,1,2017-04-26
865630,20,76,14,21,0.5699999928474426,2.0,1,1,1,2016-06-02
815672,75,76,13,77,0.2800000011920929,6.0,2,1,1,2016-04-27
